Player,Nation,Pos,Squad,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Playing Time Mn/MP,Playing Time Min%,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
Jan Paul van Hecke,NED,DF,Brighton,25-329,33,33,"2,940",32.7,3,3,6,3,0,0,9,0,0.09,0.09,0.18,0.09,0.18,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,22,10,45.5,0.67,0.31,0.14,0.30,89,93.3,89,32,0,N/a,0,1.48,49,40,+9,+0.28,+0.28,0,27,40,4,21,37,29,N/a,N/a,1
Jarrad Branthwaite,ENG,DF,Everton,23-310,10,7,680,7.6,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,6,2,33.3,0.79,0.26,0.17,0.50,68,22.2,88,4,3,21,0,1.50,10,9,+1,+0.13,+0.17,0,3,1,1,3,11,6,N/a,N/a,0
Jarrod Bowen,ENG,"MF,FW",West Ham United,29-134,35,35,"3,133",34.8,8,10,18,7,1,1,4,0,0.23,0.29,0.52,0.20,0.49,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,74,25,33.8,2.13,0.72,0.09,0.28,90,99.5,90,29,0,N/a,0,1.03,41,59,-18,-0.52,-11.11,0,19,46,17,134,27,26,N/a,N/a,0
Jaydee Canvot,FRA,DF,Crystal Palace,19-278,16,10,976,10.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,5,0,0.0,0.46,0.00,0.00,N/a,61,32.9,86,8,6,19,13,1.63,9,13,-4,-0.37,-0.41,0,10,4,0,3,8,19,N/a,N/a,0
Jayden Bogle,ENG,"MF,DF",Leeds United,25-280,33,31,"2,716",30.2,1,2,3,1,0,0,6,0,0.03,0.07,0.10,0.03,0.10,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,17,4,23.5,0.56,0.13,0.06,0.25,82,86.2,86,18,2,27,0,1.27,38,43,-5,-0.17,-0.17,0,38,28,10,64,29,40,N/a,N/a,0
Jean-Clair Todibo,FRA,DF,West Ham United,26-124,21,20,"1,699",18.9,0,1,1,0,0,0,4,1,0.00,0.05,0.05,0.00,0.05,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,0,0.0,0.11,0.00,0.00,N/a,81,53.9,85,15,1,1,7,1.10,25,33,-8,-0.42,+0.07,0,8,3,1,1,16,24,N/a,N/a,0
Jean-Philippe Mateta,FRA,FW,Crystal Palace,28-309,27,24,"2,063",22.9,10,0,10,6,4,4,2,0,0.44,0.00,0.44,0.26,0.26,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,59,30,50.8,2.57,1.31,0.10,0.20,76,69.5,82,12,3,30,0,1.22,21,25,-4,-0.17,-0.27,0,19,18,17,10,6,4,N/a,N/a,0
Jean-Ricner Bellegarde,HAI,"MF,FW",Wolves,27-310,24,15,"1,212",13.5,1,1,2,1,0,0,5,0,0.07,0.07,0.15,0.07,0.15,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,21,7,33.3,1.56,0.52,0.05,0.14,51,38.5,68,1,9,21,2,0.46,10,29,-19,-1.41,-0.53,0,19,39,0,24,9,15,N/a,N/a,0
Jefferson Lerma,COL,"MF,DF",Crystal Palace,31-190,26,15,"1,435",15.9,0,2,2,0,0,0,6,0,0.00,0.13,0.13,0.00,0.13,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,18,7,38.9,1.13,0.44,0.00,0.00,55,48.3,82,12,11,19,4,1.35,18,16,+2,+0.13,+0.42,0,20,19,0,11,18,14,N/a,N/a,1
Jenson Seelt,NED,DF,Sunderland,22-345,2,1,134,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0,N/a,0.00,0.00,N/a,N/a,67,4.3,52,0,1,82,1,1.50,0,2,-2,-1.34,-1.13,0,1,1,0,1,0,0,N/a,N/a,0
Jeremie Frimpong,NED,"DF,MF",Liverpool,25-144,18,10,859,9.5,0,1,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,9,1,11.1,0.94,0.10,0.00,0.00,48,28.1,73,3,8,16,2,1.61,17,10,+7,+0.73,+0.49,0,6,15,3,46,6,9,N/a,N/a,0
Jeremy Doku,BEL,"MF,FW",Manchester City,23-341,25,16,"1,483",16.5,2,5,7,2,0,0,0,0,0.12,0.30,0.42,0.12,0.42,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,28,10,35.7,1.70,0.61,0.07,0.20,59,49.9,79,4,9,25,1,1.92,37,14,+23,+1.40,+0.55,0,22,49,3,51,10,13,N/a,N/a,0
Jhon Arias,COL,"FW,MF",Wolves,28-224,23,14,"1,124",12.5,1,0,1,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,16,3,18.8,1.28,0.24,0.06,0.33,49,35.7,71,2,9,15,1,0.35,11,21,-10,-0.80,+0.44,0,26,9,3,30,7,27,N/a,N/a,0
Joachim Andersen,DEN,DF,Fulham,29-337,32,32,"2,831",31.5,0,1,1,0,0,0,7,0,0.00,0.03,0.03,0.00,0.03,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,15,4,26.7,0.48,0.13,0.00,0.00,88,89.9,88,31,0,N/a,1,1.41,41,44,-3,-0.10,-0.38,0,30,13,0,15,33,26,N/a,N/a,0
Joe Gomez,ENG,DF,Liverpool,28-345,18,6,526,5.8,0,2,2,0,0,0,2,0,0.00,0.34,0.34,0.00,0.34,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,3,1,33.3,0.51,0.17,0.00,0.00,29,17.2,63,2,12,12,10,1.78,16,12,+4,+0.68,+0.36,0,10,0,0,15,8,7,N/a,N/a,0
Joe Rodon,WAL,DF,Leeds United,28-193,32,30,"2,681",29.8,2,0,2,2,0,0,2,0,0.07,0.00,0.07,0.07,0.07,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,17,6,35.3,0.57,0.20,0.12,0.33,84,85.1,88,27,2,23,0,1.19,40,48,-8,-0.27,-0.84,0,14,18,1,5,28,17,N/a,N/a,0
Joe Willock,ENG,MF,Newcastle United,26-256,22,9,855,9.5,0,1,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,14,5,35.7,1.47,0.53,0.00,0.00,39,27.1,68,0,13,19,12,1.45,12,15,-3,-0.32,-0.28,0,15,9,2,14,5,15,N/a,N/a,0
Joe Worrall,ENG,DF,Burnley,29-113,11,5,500,5.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,0,0.0,0.18,0.00,0.00,N/a,45,15.9,83,4,6,14,12,0.82,10,11,-1,-0.18,+1.01,0,4,1,0,0,6,2,N/a,N/a,0
Joelinton,BRA,MF,Newcastle United,29-262,26,22,"1,861",20.7,2,1,3,2,0,0,10,0,0.10,0.05,0.15,0.10,0.15,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,29,10,34.5,1.40,0.48,0.07,0.20,72,59.1,80,12,4,24,3,1.50,33,26,+7,+0.34,+1.11,0,42,27,1,10,27,20,N/a,N/a,0
John,BRA,GK,Nottingham Forest,30-079,5,5,437,4.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,8,1.65,13,6,46.2,1,0,4,1,20.0,1,1,0,0,0.0,0,0,N/a,0.00,0.00,N/a,N/a,87,14.3,87,4,0,N/a,12,0.60,5,8,-3,-0.62,-0.58,0,0,0,0,0,0,0,N/a,N/a,0
John McGinn,SCO,MF,Aston Villa,31-197,27,26,"1,959",21.8,4,3,7,4,0,0,4,0,0.18,0.14,0.32,0.18,0.32,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,22,9,40.9,1.01,0.41,0.18,0.44,73,64.0,74,6,1,45,0,1.85,31,25,+6,+0.28,+0.36,0,29,46,0,73,12,16,N/a,N/a,0
John Stones,ENG,DF,Manchester City,31-340,7,4,353,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0,N/a,0.00,0.00,N/a,N/a,50,11.9,80,2,3,11,12,1.43,5,8,-3,-0.76,-2.14,0,0,0,0,4,2,0,N/a,N/a,0
Jordan Henderson,ENG,MF,Brentford,35-320,29,21,"1,820",20.2,1,3,4,1,0,0,4,0,0.05,0.15,0.20,0.05,0.20,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,6,1,16.7,0.30,0.05,0.17,1.00,63,57.8,80,10,8,18,1,1.48,27,26,+1,+0.05,-0.09,0,13,7,1,44,16,13,N/a,N/a,0
Jordan Pickford,ENG,GK,Everton,32-057,34,34,"3,060",34.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,41,1.21,128,91,70.3,13,8,13,11,32.4,4,3,1,0,25.0,0,0,N/a,0.00,0.00,N/a,N/a,90,100.0,90,34,0,N/a,0,1.38,41,41,0,0.00,N/a,0,1,6,0,0,0,1,N/a,N/a,0
Jorge Cuenca,ESP,DF,Fulham,26-167,14,11,933,10.4,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,0,0.0,0.10,0.00,0.00,N/a,67,29.6,84,7,3,3,15,1.71,9,11,-2,-0.19,-0.19,0,9,1,1,2,15,10,N/a,N/a,0
Jorrel Hato,NED,DF,Chelsea,20-057,19,9,917,10.2,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,4,0,0.0,0.39,0.00,0.00,N/a,48,30.0,77,5,10,23,12,1.32,10,23,-13,-1.28,-2.16,0,14,2,0,7,11,17,N/a,N/a,0
Josh Cullen,IRL,MF,Burnley,30-026,18,18,"1,514",16.8,2,2,4,2,0,0,2,0,0.12,0.12,0.24,0.12,0.24,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,11,6,54.5,0.65,0.36,0.18,0.33,84,48.1,84,12,0,N/a,0,0.67,18,29,-11,-0.65,+0.72,0,16,18,0,12,24,19,N/a,N/a,1
Josh Laurent,ENG,"DF,MF",Burnley,30-362,31,18,"1,732",19.2,1,0,1,1,0,0,7,1,0.05,0.00,0.05,0.05,0.05,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,15,4,26.7,0.78,0.21,0.07,0.25,56,55.0,81,9,13,21,3,0.65,17,40,-23,-1.20,-0.37,0,28,11,2,14,27,23,N/a,N/a,0
Joshua Acheampong,ENG,DF,Chelsea,19-363,15,7,587,6.5,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,3,2,66.7,0.46,0.31,0.33,0.50,39,19.2,71,1,8,11,16,1.13,8,12,-4,-0.61,-1.05,0,2,5,2,1,11,7,N/a,N/a,0
Joshua King,ENG,MF,Fulham,19-120,29,15,"1,250",13.9,1,2,3,1,0,0,3,0,0.07,0.14,0.22,0.07,0.22,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,24,10,41.7,1.73,0.72,0.04,0.10,43,39.7,65,0,14,19,3,1.38,13,18,-5,-0.36,-0.50,0,11,27,2,11,3,11,N/a,N/a,0
Joshua Zirkzee,NED,"FW,MF",Manchester Utd,24-346,20,4,530,5.9,2,1,3,2,0,0,2,0,0.34,0.17,0.51,0.34,0.51,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,21,7,33.3,3.57,1.19,0.10,0.29,27,17.3,76,2,16,14,12,1.65,9,8,+1,+0.17,-0.29,0,7,5,1,5,1,6,N/a,N/a,0
José Sá,POR,GK,Wolves,33-106,21,21,"1,890",21.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,35,1.67,87,54,62.1,3,6,12,4,19.0,2,2,0,0,0.0,0,0,N/a,0.00,0.00,N/a,N/a,90,60.0,90,21,0,N/a,11,0.71,18,35,-17,-0.81,+0.69,0,0,6,0,0,0,0,N/a,N/a,0
João Gomes,BRA,MF,Wolves,25-080,33,30,"2,651",29.5,1,1,2,1,0,0,10,0,0.03,0.03,0.07,0.03,0.07,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,19,7,36.8,0.65,0.24,0.05,0.14,80,84.2,86,22,3,24,1,0.52,20,52,-32,-1.09,0.00,0,64,45,1,31,33,65,N/a,N/a,0
João Palhinha,POR,"MF,DF",Tottenham Hotspur,30-298,29,19,"1,861",20.7,4,2,6,4,0,0,6,0,0.19,0.10,0.29,0.19,0.29,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,25,7,28.0,1.21,0.34,0.16,0.57,64,60.8,84,12,10,26,2,1.07,27,33,-6,-0.29,+0.01,0,22,27,0,4,23,55,N/a,N/a,0
João Pedro,BRA,"FW,MF",Chelsea,24-219,32,28,"2,391",26.6,14,5,19,14,0,0,4,0,0.53,0.19,0.72,0.53,0.72,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,66,27,40.9,2.48,1.02,0.21,0.52,75,78.1,81,11,4,31,0,1.50,45,30,+15,+0.56,+1.51,0,32,48,15,14,5,15,N/a,N/a,0
Joël Piroe,SUR,FW,Leeds United,26-274,14,2,228,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,11,2,18.2,4.34,0.79,0.00,0.00,16,7.2,67,0,12,8,20,0.86,3,7,-4,-1.58,-1.55,0,3,0,1,4,1,1,N/a,N/a,0
Joël Veltman,NED,DF,Brighton,34-108,22,8,961,10.7,1,0,1,1,0,0,5,0,0.09,0.00,0.09,0.09,0.09,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,3,1,33.3,0.28,0.09,0.33,1.00,44,30.5,86,7,14,20,8,1.77,17,12,+5,+0.47,+0.30,0,9,22,2,16,19,17,N/a,N/a,0
Joško Gvardiol,CRO,DF,Manchester City,24-100,16,15,"1,302",14.5,2,2,4,2,0,0,2,0,0.14,0.14,0.28,0.14,0.28,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,16,5,31.3,1.11,0.35,0.13,0.40,81,43.8,85,12,1,34,1,2.25,35,13,+22,+1.52,+0.71,0,16,7,0,2,14,13,N/a,N/a,0
Jurriën Timber,NED,DF,Arsenal,24-320,30,28,"2,454",27.3,3,5,8,3,0,0,5,0,0.11,0.18,0.29,0.11,0.29,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,25,7,28.0,0.92,0.26,0.12,0.43,82,77.9,85,23,2,34,0,2.23,51,20,+31,+1.14,+0.23,0,38,29,0,46,24,35,N/a,N/a,0
Justin Devenny,NIR,"MF,FW",Crystal Palace,22-204,19,5,616,6.8,1,0,1,0,1,1,0,0,0.15,0.00,0.15,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,13,4,30.8,1.90,0.58,0.00,0.00,32,20.7,82,1,14,15,12,1.42,6,10,-4,-0.58,-0.62,0,10,6,1,10,0,8,N/a,N/a,0
Justin Kluivert,NED,MF,Bournemouth,26-363,18,10,919,10.2,2,0,2,2,0,0,4,0,0.20,0.00,0.20,0.20,0.20,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,16,4,25.0,1.57,0.39,0.13,0.50,51,30.0,72,0,8,25,0,1.22,16,18,-2,-0.20,-0.28,0,15,9,1,40,4,7,N/a,N/a,0
Jørgen Strand Larsen,NOR,FW,Wolves,26-086,22,14,"1,404",15.6,1,1,2,0,1,2,2,0,0.06,0.06,0.13,0.00,0.06,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,21,7,33.3,1.35,0.45,0.00,0.00,64,44.6,83,7,8,31,0,0.36,6,26,-20,-1.28,-0.35,0,30,11,9,3,3,2,N/a,N/a,0
Kai Havertz,GER,"MF,FW",Arsenal,26-326,9,6,440,4.9,1,2,3,1,0,0,0,0,0.20,0.41,0.61,0.20,0.61,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,12,3,25.0,2.45,0.61,0.08,0.33,49,14.0,60,1,3,26,2,2.33,7,3,+4,+0.82,-0.31,0,5,8,2,3,0,3,N/a,N/a,0
Kaoru Mitoma,JPN,"MF,FW",Brighton,28-348,24,18,"1,664",18.5,3,1,4,3,0,0,4,0,0.16,0.05,0.22,0.16,0.22,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,29,13,44.8,1.57,0.70,0.10,0.23,69,52.8,83,10,6,28,0,1.33,22,20,+2,+0.11,-0.32,0,30,19,4,42,8,11,N/a,N/a,0
Karl Darlow,WAL,GK,Leeds United,35-207,19,19,"1,710",19.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,23,1.21,71,50,70.4,6,7,6,4,21.1,2,2,0,0,0.0,0,0,N/a,0.00,0.00,N/a,N/a,90,54.3,90,19,0,N/a,15,1.32,24,23,+1,+0.05,+0.43,0,0,6,0,0,0,0,N/a,N/a,0
Keane Lewis-Potter,ENG,"DF,MF",Brentford,25-070,33,19,"1,704",18.9,3,3,6,3,0,0,1,0,0.16,0.16,0.32,0.16,0.32,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,28,9,32.1,1.48,0.48,0.11,0.33,52,54.1,79,8,14,14,2,1.45,25,26,-1,-0.05,-0.30,0,15,31,3,61,8,11,N/a,N/a,0
Kenny Tete,NED,DF,Fulham,30-206,22,21,"1,791",19.9,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,16,3,18.8,0.80,0.15,0.06,0.33,81,56.9,85,15,1,8,3,1.55,24,24,0,0.00,+0.13,0,27,31,1,34,26,38,N/a,N/a,0
Kevin,BRA,MF,Fulham,23-119,23,8,908,10.1,1,1,2,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,22,9,40.9,2.18,0.89,0.05,0.11,39,28.8,69,0,15,24,1,1.39,12,14,-2,-0.20,-0.20,0,12,15,2,40,9,8,N/a,N/a,0
Kevin Danso,AUT,DF,Tottenham Hotspur,27-226,20,13,"1,134",12.6,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,4,1,25.0,0.32,0.08,0.00,0.00,57,37.1,83,10,7,8,10,1.30,15,22,-7,-0.56,-0.42,0,15,9,0,7,16,10,N/a,N/a,0
Kevin Schade,GER,"MF,FW",Brentford,24-157,32,30,"2,537",28.2,7,3,10,7,0,1,6,1,0.25,0.11,0.35,0.25,0.35,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,51,22,43.1,1.81,0.78,0.14,0.32,79,80.5,82,16,2,45,0,1.44,39,30,+9,+0.32,+1.20,0,43,42,9,22,19,26,N/a,N/a,0
Ki-Jana Hoever,NED,"MF,DF",Wolves,24-105,8,6,425,4.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,1,100.0,0.21,0.21,0.00,0.00,53,13.5,65,0,2,17,9,0.00,3,13,-10,-2.12,-1.19,0,3,3,1,22,5,11,N/a,N/a,0
Kieran Trippier,ENG,DF,Newcastle United,35-226,19,17,"1,501",16.7,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,0,0.0,0.12,0.00,0.00,N/a,79,47.7,84,11,2,35,7,0.95,19,26,-7,-0.42,-0.58,0,22,18,1,92,7,11,N/a,N/a,0
Kiernan Dewsbury-Hall,ENG,MF,Everton,27-239,27,26,"2,275",25.3,8,4,12,8,0,0,6,0,0.32,0.16,0.47,0.32,0.47,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,33,14,42.4,1.31,0.55,0.24,0.57,84,74.3,86,17,1,45,0,1.33,32,31,+1,+0.04,+0.15,0,27,41,1,100,13,23,N/a,N/a,0
Kobbie Mainoo,ENG,MF,Manchester Utd,21-014,24,12,"1,302",14.5,0,2,2,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,8,2,25.0,0.55,0.14,0.00,0.00,54,42.5,89,10,12,20,4,2.17,29,18,+11,+0.76,+0.61,0,9,16,1,13,12,18,N/a,N/a,0
Konstantinos Mavropanos,GRE,DF,West Ham United,28-143,28,24,"2,264",25.2,3,0,3,3,0,0,2,0,0.12,0.00,0.12,0.12,0.12,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,21,8,38.1,0.83,0.32,0.14,0.38,81,71.9,90,24,4,26,3,1.04,30,40,-10,-0.40,+0.21,0,10,8,2,3,43,20,N/a,N/a,2
Kristoffer Ajer,NOR,DF,Brentford,28-016,25,18,"1,639",18.2,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,10,3,30.0,0.55,0.16,0.00,0.00,66,52.0,83,12,7,20,8,1.44,28,27,+1,+0.05,-0.06,0,22,5,0,7,12,21,N/a,N/a,0
Kyle Walker,ENG,"DF,MF",Burnley,35-340,33,32,"2,826",31.4,0,2,2,0,0,0,9,0,0.00,0.06,0.06,0.00,0.06,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,4,0,0.0,0.13,0.00,0.00,N/a,86,89.7,88,29,1,9,1,0.61,28,62,-34,-1.08,-0.53,0,30,21,1,36,39,28,N/a,N/a,0
Kyle Walker-Peters,ENG,DF,West Ham United,29-020,22,14,"1,293",14.4,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,5,3,60.0,0.35,0.21,0.20,0.33,59,41.0,84,11,8,14,13,1.05,17,25,-8,-0.56,-0.17,0,11,24,1,19,9,30,N/a,N/a,0
Ladislav Krejčí,CZE,"DF,MF",Wolves,27-013,26,25,"2,201",24.5,2,1,3,2,0,0,5,1,0.08,0.04,0.12,0.08,0.12,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,19,10,52.6,0.78,0.41,0.11,0.20,85,69.9,86,20,1,48,1,0.54,18,43,-25,-1.02,+0.21,1,32,7,0,13,30,16,N/a,N/a,1
Lamare Bogarde,NED,"MF,DF",Aston Villa,22-118,25,9,880,9.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0,N/a,0.00,0.00,N/a,N/a,35,28.8,79,3,16,11,9,1.64,13,14,-1,-0.10,-0.35,0,16,17,0,2,3,15,N/a,N/a,0
Leandro Trossard,BEL,"FW,MF",Arsenal,31-150,29,19,"1,821",20.2,5,6,11,5,0,0,1,0,0.25,0.30,0.54,0.25,0.54,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,48,13,27.1,2.37,0.64,0.10,0.38,63,57.8,80,4,10,30,3,2.17,40,15,+25,+1.24,+0.36,0,13,36,5,55,9,15,N/a,N/a,0
