Player,Nation,Pos,Squad,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Playing Time Mn/MP,Playing Time Min%,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
Chadi Riad,MAR,DF,Crystal Palace,22-320,6,3,314,3.5,0,1,1,0,0,0,2,0,0.00,0.29,0.29,0.00,0.29,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,1,50.0,0.57,0.29,0.00,0.00,52,10.6,74,1,3,31,6,1.17,5,3,+2,+0.57,+0.74,0,4,2,0,6,1,3,N/a,N/a,0
Charalampos Kostoulas,GRE,FW,Brighton,18-338,18,2,325,3.6,2,1,3,2,0,0,2,0,0.55,0.28,0.83,0.55,0.83,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,17,7,41.2,4.71,1.94,0.12,0.29,18,10.3,76,0,16,11,8,0.89,8,8,0,0.00,-0.29,0,7,7,3,5,1,6,N/a,N/a,0
Chemsdine Talbi,MAR,"MF,FW",Sunderland,20-359,26,15,"1,452",16.1,4,1,5,4,0,0,0,0,0.25,0.06,0.31,0.25,0.31,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,24,10,41.7,1.49,0.62,0.17,0.40,56,46.1,78,2,11,25,3,1.42,21,14,+7,+0.43,+1.28,0,5,1,1,47,3,6,N/a,N/a,0
Chris Richards,USA,DF,Crystal Palace,26-036,29,29,"2,602",28.9,1,0,1,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,11,1,9.1,0.38,0.03,0.09,1.00,90,87.6,90,28,0,N/a,1,1.41,35,35,0,0.00,+0.73,0,15,4,0,13,42,32,N/a,N/a,0
Chris Rigg,ENG,MF,Sunderland,18-319,16,11,746,8.3,1,0,1,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,12,3,25.0,1.45,0.36,0.08,0.33,47,23.7,65,2,5,6,17,1.63,8,11,-3,-0.36,-0.14,0,8,8,2,10,3,8,N/a,N/a,0
Chris Wood,NZL,FW,Nottingham Forest,34-147,11,9,728,8.1,3,0,3,3,0,0,0,0,0.37,0.00,0.37,0.37,0.37,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,20,8,40.0,2.47,0.99,0.15,0.38,66,23.8,76,0,2,22,0,1.09,11,9,+2,+0.25,+0.48,0,5,5,4,1,1,1,N/a,N/a,0
Christantus Uche,NGA,FW,Crystal Palace,22-349,14,0,173,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,6,2,33.3,3.12,1.04,0.00,0.00,12,5.8,N/a,0,14,12,11,0.64,3,4,-1,-0.52,-0.46,0,4,7,3,6,0,1,N/a,N/a,0
Cody Gakpo,NED,"MF,FW",Liverpool,26-361,32,28,"2,408",26.8,6,5,11,6,0,0,2,0,0.22,0.19,0.41,0.22,0.41,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,78,19,24.4,2.92,0.71,0.08,0.32,75,78.7,82,14,4,28,0,1.63,43,31,+12,+0.45,+0.31,0,40,41,22,86,9,14,N/a,N/a,0
Cole Palmer,ENG,"MF,FW",Chelsea,23-362,22,20,"1,597",17.7,9,1,10,4,5,5,4,0,0.51,0.06,0.56,0.23,0.28,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,53,20,37.7,2.99,1.13,0.08,0.20,73,52.2,77,9,2,33,1,1.05,27,26,+1,+0.06,-0.37,0,12,27,2,30,12,11,N/a,N/a,0
Conor Bradley,NIR,DF,Liverpool,22-298,15,12,929,10.3,0,1,1,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,6,0,0.0,0.58,0.00,0.00,N/a,62,30.4,70,3,3,29,1,1.47,11,13,-2,-0.19,-0.83,0,18,20,1,23,12,15,N/a,N/a,0
